mass_field,window,Data,Signal,Background,Data_minus_MC
mass_raw,10-40,14449.0,270.7886776051375,3813.4274202117194,10364.783902183142
mass_raw,40-66,35561.0,8738.134308017921,974.4875070576397,25848.37818492444
mass_raw,66-80,109133.0,36721.253941520925,499.062142127023,71912.68391635205
mass_raw,80-100,379968.0,317838.28312148416,540.0343299576427,61589.68254855822
mass_raw,100-116,12813.0,10265.070514029083,338.97338394125615,2208.9561020296605
mass_fsr_maxcone,10-40,14923.0,80.35183611300346,3546.509415160506,11296.138748726491
mass_fsr_maxcone,40-66,20447.0,5485.9945131096265,1063.4806379030192,13897.524848987354
mass_fsr_maxcone,66-80,26829.0,10102.501549421586,509.6394959809665,16216.858954597448
mass_fsr_maxcone,80-100,480123.0,347899.91160643724,764.8937682075707,131458.1946253552
mass_fsr_maxcone,100-116,13297.0,10265.072708685546,338.97338394125615,2692.9539073731976
mass_fsr_both,10-40,14851.0,90.50107323976866,3499.3202120072656,11261.178714752965
mass_fsr_both,40-66,19920.0,5239.794008211725,1111.6394658510528,13568.566525937222
mass_fsr_both,66-80,26137.0,9980.805658245907,500.9478086559076,15655.246533098185
mass_fsr_both,80-100,481208.0,348255.2864906722,773.7934170633101,132178.92009226448
mass_fsr_both,100-116,13609.0,10267.444983397372,338.97338394125615,3002.5816326613713
