ptcone_max,etcone_max,is_nominal,sigma_pb_raw,epsilon_raw,n_sig_data_raw,n_selected_raw,n_bkg_mc_raw,dsigma_stat_pb_raw,dsigma_lumi_pb_raw,sigma_pb_masscorr_maxcone,epsilon_masscorr_maxcone,n_sig_data_masscorr_maxcone,n_selected_masscorr_maxcone,n_bkg_mc_masscorr_maxcone,dsigma_stat_pb_masscorr_maxcone,dsigma_lumi_pb_masscorr_maxcone,sigma_pb_masscorr_both,epsilon_masscorr_both,n_sig_data_masscorr_both,n_selected_masscorr_both,n_bkg_mc_masscorr_both,dsigma_stat_pb_masscorr_both,dsigma_lumi_pb_masscorr_both,sigma_pb_masscorr_etsub_maxcone,epsilon_masscorr_etsub_maxcone,n_sig_data_masscorr_etsub_maxcone,n_selected_masscorr_etsub_maxcone,n_bkg_mc_masscorr_etsub_maxcone,dsigma_stat_pb_masscorr_etsub_maxcone,dsigma_lumi_pb_masscorr_etsub_maxcone,sigma_abs_shift_pb_raw,sigma_frac_shift_raw,sigma_abs_shift_pb_masscorr_maxcone,sigma_frac_shift_masscorr_maxcone,sigma_abs_shift_pb_masscorr_both,sigma_frac_shift_masscorr_both,sigma_abs_shift_pb_masscorr_etsub_maxcone,sigma_frac_shift_masscorr_etsub_maxcone
7.0,4.0,False,2252.2320837161333,0.34319822117253274,23652638.570851963,23725870.0,73231.42914803655,0.4650136693561208,38.28794542317427,2252.121212318399,0.3438461048959479,23696123.06224218,23772027.0,75903.93775781992,0.46470353908956363,38.286060609412786,2252.477160395696,0.3436011153287034,23682982.13567039,23758123.0,75140.86432961012,0.4648847719724051,38.29211172672684,2266.659538906863,0.3453298107445429,23952000.35354641,24030338.0,78337.64645358868,0.46527131827157553,38.53321216141667,4.08598157722281,0.001810906733440336,4.259704708823392,0.001887848224862469,4.272573285635644,0.0018932419584984255,3.98644181300142,0.001755642159478157
7.0,5.0,False,2253.2113465046623,0.3516389928757643,24244899.23980701,24320178.0,75278.76019299177,0.4595063812063365,38.304592890579265,2253.157584904763,0.3523628924332913,24294231.185986575,24372499.0,78267.81401342675,0.4591771418070063,38.30367894338097,2253.5203401576405,0.352121738660195,24281513.108642124,24359027.0,77513.89135787573,0.45935292823262225,38.30984578267989,2267.3935352990193,0.35329172981820767,24512172.358491004,24591807.0,79634.64150899803,0.4600480707966803,38.54569010008333,3.1067187886937973,0.0013768975378433076,3.2233321224593965,0.0014285407654954512,3.229393523691215,0.0014309932003063778,3.252445420845106,0.001432387720702274
7.0,6.0,False,2253.6744664253506,0.35589878754661874,24543648.30984199,24620030.0,76381.69015800848,0.4567984786470414,38.31246592923096,2253.691536695262,0.3566647789737069,24596659.250596084,24676204.0,79544.74940391658,0.45646043724133084,38.31275612381946,2254.0549069632357,0.35642597796415465,24584153.972737752,24662962.0,78808.02726224888,0.45663286431961936,38.31893341837501,2267.6436371732843,0.3572619716495855,24790370.806544047,24870670.0,80299.19345595264,0.45749686052298566,38.54994183194584,2.6435988680054834,0.0011716428231769596,2.689380331960365,0.0011918999631957614,2.69482671809601,0.0011941185492908262,3.0023435465800503,0.0013222420280717716
7.0,7.0,False,2254.168813530152,0.35818183091549455,24706510.772378836,24783438.0,76927.22762116515,0.45538958397722545,38.32086983001258,2254.269900712473,0.35897195306930174,24762121.87152538,24842316.0,80194.12847461874,0.4550532180165518,38.32258831211204,2254.6361283753617,0.358734758135713,24749780.193621337,24829236.0,79455.8063786621,0.45522300130863436,38.32881418238115,2267.860294324473,0.35935674281836494,24938109.18918756,25018733.0,80623.81081244106,0.4561757848901408,38.553625003516046,2.14925176320412,0.0009525482228165753,2.111016314749577,0.000935576213581365,2.1136053059699407,0.000936570535237026,2.785686395391167,0.001226825502101397
7.0,8.0,False,2254.806893208931,0.35947635738186623,24802822.918250237,24880070.0,77247.08174976279,0.45463137029777717,38.33171718455183,2254.9995037076437,0.36028109186234397,24860470.71035191,24941045.0,80574.28964808876,0.45429903078282236,38.334991563029945,2255.370001130023,0.3600447296738551,24848242.92056427,24928079.0,79836.07943572977,0.45446793959889703,38.34129001921039,2268.143533784839,0.36051388616138536,25021535.53593964,25102389.0,80853.46406035754,0.4554683348052039,38.558440074342265,1.5111720844251977,0.0006697513562781859,1.381413319578769,0.0006122252272009012,1.3797325513087344,0.0006113803984184105,2.502446935025546,0.0011020859069506702
8.0,4.0,False,2253.6237852349914,0.3432107319333486,23668116.786286894,23741362.0,73245.21371310741,0.465147790382896,38.311604348994855,2253.5276493974225,0.3438586310062402,23711784.93316915,23787704.0,75919.06683085054,0.4648390292609796,38.30997003975619,2253.8855156003115,0.34361363539863743,23698653.351105317,23773808.0,75154.64889468098,0.4650204697692416,38.3160537652053,2268.2946520497594,0.3453428555826336,23970184.184715416,24048538.0,78353.8152845834,0.4654289460200242,38.561009084845914,2.6942800583647113,0.0011941047230034092,2.8532676298000297,0.001264532778250582,2.8642180810202262,0.0012691784287254394,2.3513286701049765,0.0010355329232606895
8.0,5.0,False,2254.721301938813,0.35165366522982644,24262158.902895626,24337454.0,75295.09710437366,0.45964961174636004,38.330262132959824,2254.6886670261733,0.35237758435934985,24311753.426654015,24390039.0,78285.57334598551,0.45932233808369577,38.32970733944495,2255.0541960495525,0.35213642466388484,24299053.693817526,24376584.0,77530.30618247477,0.45949841634971333,38.335921332842396,2269.117844921267,0.35330689851206176,24531866.637313697,24611520.0,79653.36268630381,0.46021169078175156,38.575003363661544,1.5967633545428725,0.0007076854008768789,1.6922500010491603,0.0007499841840883393,1.6955376317791888,0.0007513184144762638,1.5281357985973045,0.0006729960599638869
8.0,6.0,False,2255.2787802338926,0.3559153285488497,24562261.613907564,24638662.0,76400.38609243587,0.45694924690010374,38.33973926397618,2255.323919922913,0.35668134319853867,24615618.132240478,24695183.0,79564.86775952081,0.4566138323439287,38.34050663868952,2255.6911228061826,0.3564425318416144,24603142.198890105,24681969.0,78826.8011098934,0.4567866594513182,38.346749087705106,2269.4360466462635,0.3572788759051632,24811139.726343695,24891460.0,80320.2736563039,0.4576653873728016,38.580412792986486,1.0392850594635092,0.0004606110616449752,1.0569971043096302,0.0004684479895806874,1.0586108751490428,0.0004690865182565812,1.2099340736008344,0.000532858967833131
8.0,7.0,False,2255.8487303533248,0.3581998968088953,24726170.34232858,24803117.0,76946.65767142021,0.45554652112702565,38.349428416006525,2255.9837494758212,0.3589900502453094,24782197.01905395,24862412.0,80214.98094605065,0.45521333655482676,38.35172374108896,2256.3541943196287,0.3587528449643486,24769888.685657866,24849364.0,79475.31434213425,0.4553835580908758,38.35802130343369,2269.701689286977,0.3593751042836156,24959633.007174294,25040278.0,80644.99282570551,0.4563478241302915,38.58492871787861,0.4693349400313309,0.00020800921078044471,0.39716755140125315,0.0001760197262811993,0.39553936170295856,0.00017526948416106975,0.9442914328874394,0.0004158690702581783
8.0,8.0,False,2256.540302075822,0.35949583762069653,24823235.488199983,24900502.0,77266.51180001785,0.454792484741511,38.36118513528898,2256.770909933155,0.36030061336268904,24881347.85788048,24961943.0,80595.14211952068,0.4544637069372069,38.36510546886364,2257.146276665068,0.3600642408268282,24869160.412600797,24949016.0,79855.58739920192,0.4546331185865456,38.37148670330616,2270.015701332624,0.3605335742086999,25043556.35392638,25124431.0,80874.64607362199,0.455642338954988,38.59026692265461,0.2222367824660978,9.849532558575849e-05,0.38999290593255864,0.00017284001251276915,0.3965429837362535,0.0001757142042903407,0.6302793872405346,0.00027757712677020516
9.0,4.0,False,2254.5241232331723,0.343214538322494,23677834.956427403,23751084.0,73249.04357259654,0.4652373859736733,38.326910094963935,2254.4387052872576,0.3438624429857704,23721634.10330966,23797557.0,75922.89669033966,0.4649296088770057,38.32545798988338,2254.7967348141883,0.3436174484074531,23708497.52124583,23783656.0,75158.47875417011,0.46511109283775387,38.33154449184121,2269.405714208983,0.3453468952674583,23982205.85563162,24060564.0,78358.14436838012,0.4655391946062421,38.57989714155272,1.793942060183781,0.000795074988663241,1.9422117399649323,0.0008607641224531329,1.9529988671433784,0.0008654033887743243,1.2402665108811561,0.0005462174735349777
9.0,5.0,False,2255.701214518674,0.35165792836472065,24272997.61288709,24348297.0,75299.38711291106,0.459745908942911,38.34692064681746,2255.682674560302,0.35238185202952277,24322766.136645477,24401056.0,78289.86335452287,0.45941992766107326,38.34660546752514,2256.048780491561,0.3521406933633432,24310065.40380899,24387600.0,77534.59619101213,0.4595960910166206,38.352829268356544,2270.286439438951,0.3533113722746742,24544811.331667654,24624470.0,79658.66833234562,0.46032624373150777,38.59486947046217,0.6168507746820069,0.0002733882178095342,0.6982424669204192,0.0003094523897322941,0.7009531897706438,0.0003106029788368297,0.35954128091316306,0.0001583431692857631
9.0,6.0,True,2256.318065293356,0.35591988154828813,24573894.831154905,24650301.0,76406.16884509355,0.45705078228858986,38.35740710998706,2256.3809170272225,0.35668590073325546,24627469.349487823,24707040.0,79570.65051217852,0.45671699999891996,38.358475589462785,2256.7497336813317,0.35644709040561673,24615003.41613745,24693836.0,78832.58386255107,0.4568900164584212,38.36474547258264,2270.6459807198644,0.35728362988193363,24824697.927953534,24905025.0,80327.07204646604,0.4577832981960395,38.600981672237694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,7.0,False,2256.94671037149,0.35820496596341744,24738555.29883792,24815509.0,76953.7011620812,0.4556532987507594,38.36809407631534,2257.103666049524,0.35899512595533145,24794849.975563288,24875072.0,80222.02443671165,0.4553221481851937,38.370762322841905,2257.4766356009595,0.358757925815406,24782561.642167203,24862044.0,79482.35783279526,0.45549264800536,38.37710280521632,2270.9482639789435,0.35938032812503873,24973704.447270438,25054357.0,80652.5527295634,0.4564687610303759,38.606120487642045,0.6286450781340136,0.00027861545222893037,0.7227490223012865,0.0003203133907254928,0.726901919627835,0.00032210125419714726,0.302283259079104,0.00013312654709091683
9.0,8.0,False,2257.6804266634176,0.3595013515970848,24836158.44470932,24913432.0,77273.55529067885,0.4549029913927373,38.3805672532781,2257.937104516761,0.360306133894577,24894586.814389817,24975189.0,80602.1856101817,0.4545766456917832,38.38493077678494,2258.3153687914273,0.3600697678150088,24882423.369110137,24962286.0,79862.6308898629,0.4547463721150398,38.391361269454265,2271.283977517602,0.36053923456447917,25057941.79402252,25138824.0,80882.20597747985,0.45576496357057517,38.611827617799236,1.3623613700615351,0.0006037984586558753,1.556187489538388,0.000689682968773137,1.5656351100956272,0.0006937566389081517,0.6379967977377419,0.00028097589987827046
