stage,stage_label,region,N_data,N_MC,residual
baseline,baseline control preselection,ordered_11_13,1095059.0,756632.6840792695,338426.31592073047
baseline,baseline control preselection,ordered_13_11,0.0,0.0,0.0
baseline,baseline control preselection,ep_mum,450597.0,316974.3321790564,133622.66782094358
baseline,baseline control preselection,mup_em,460067.0,329344.67759227403,130722.32240772597
baseline,baseline control preselection,ee_ss,387416.0,26122.099358394193,361293.9006416058
baseline,baseline control preselection,mumu_ss,34029.0,5851.393368795236,28177.606631204762
mass_only,mass-only selection,ordered_11_13,293068.0,215715.32147317822,77352.67852682178
mass_only,mass-only selection,ordered_13_11,0.0,0.0,0.0
mass_only,mass-only selection,ep_mum,123321.0,92916.0681144436,30404.931885556405
mass_only,mass-only selection,mup_em,125476.0,95091.85315248898,30384.146847511016
mass_only,mass-only selection,ee_ss,240030.0,8559.649493001292,231470.35050699871
mass_only,mass-only selection,mumu_ss,8607.0,1588.5347227586974,7018.465277241303
mass_plus_iso,mass + iso selection,ordered_11_13,233675.0,187021.97387491562,46653.026125084376
mass_plus_iso,mass + iso selection,ordered_13_11,0.0,0.0,0.0
mass_plus_iso,mass + iso selection,ep_mum,103852.0,84263.64649796403,19588.35350203597
mass_plus_iso,mass + iso selection,mup_em,105719.0,86136.94880257417,19582.051197425826
mass_plus_iso,mass + iso selection,ee_ss,216569.0,3283.2051927489797,213285.79480725102
mass_plus_iso,mass + iso selection,mumu_ss,4626.0,1529.9259435214778,3096.074056478522
