method,neighbour_rank,ptcone_max,etcone_max,delta_ptcone,delta_etcone,distance_to_nominal,sigma_shift_pb,sigma_abs_shift_pb,sigma_frac_shift,abs_slope_pb_per_gev
none,1,3.5,9.25,-1.0,0.0,1.0,-3.7698680126418367,3.7698680126418367,0.0016767376675832278,3.7698680126418367
none,2,4.5,8.25,0.0,-1.0,1.0,-0.8469666674031942,0.8469666674031942,0.00037670839129117656,0.8469666674031942
none,3,4.5,10.25,0.0,1.0,1.0,1.0904400327740404,1.0904400327740404,0.00048499891005776487,1.0904400327740404
none,4,5.5,9.25,1.0,0.0,1.0,3.360642418415864,3.360642418415864,0.0014947249376741586,3.360642418415864
wrong_flavour,1,3.5,9.25,-1.0,0.0,1.0,-3.64446321361811,3.64446321361811,0.0016222453990629095,3.64446321361811
wrong_flavour,2,4.5,8.25,0.0,-1.0,1.0,-0.8270069346745004,0.8270069346745004,0.0003681223039254995,0.8270069346745004
wrong_flavour,3,4.5,10.25,0.0,1.0,1.0,1.075582267224945,1.075582267224945,0.00047876965194747537,1.075582267224945
wrong_flavour,4,5.5,9.25,1.0,0.0,1.0,3.242852536045575,3.242852536045575,0.0014434780372544246,3.242852536045575
wrong_charge,1,3.5,9.25,-1.0,0.0,1.0,-3.7168547832338845,3.7168547832338845,0.0016533657316640628,3.7168547832338845
wrong_charge,2,4.5,8.25,0.0,-1.0,1.0,-0.8407645621909978,0.8407645621909978,0.00037399667100113945,0.8407645621909978
wrong_charge,3,4.5,10.25,0.0,1.0,1.0,1.0857669007814366,1.0857669007814366,0.00048298087792529186,1.0857669007814366
wrong_charge,4,5.5,9.25,1.0,0.0,1.0,3.309297240002252,3.309297240002252,0.0014720722147098992,3.309297240002252
both_average,1,3.5,9.25,-1.0,0.0,1.0,-3.68065899842577,3.68065899842577,0.0016378107540942896,3.68065899842577
both_average,2,4.5,8.25,0.0,-1.0,1.0,-0.8338857484332038,0.8338857484332038,0.000371060466903889,0.8338857484332038
both_average,3,4.5,10.25,0.0,1.0,1.0,1.080674584002736,1.080674584002736,0.00048087596707901037,1.080674584002736
both_average,4,5.5,9.25,1.0,0.0,1.0,3.276074888024141,3.276074888024141,0.0014577798935242478,3.276074888024141
