method,fixed_axis,fixed_value,varying_axis,classification,n_points
none,etcone_max,7.25,ptcone_max,monotonic increasing,5
none,etcone_max,8.25,ptcone_max,monotonic increasing,5
none,etcone_max,9.25,ptcone_max,monotonic increasing,5
none,etcone_max,10.25,ptcone_max,monotonic increasing,5
none,etcone_max,11.25,ptcone_max,monotonic increasing,5
none,ptcone_max,2.5,etcone_max,monotonic increasing,5
none,ptcone_max,3.5,etcone_max,monotonic increasing,5
none,ptcone_max,4.5,etcone_max,monotonic increasing,5
none,ptcone_max,5.5,etcone_max,monotonic increasing,5
none,ptcone_max,6.5,etcone_max,monotonic increasing,5
wrong_flavour,etcone_max,7.25,ptcone_max,monotonic increasing,5
wrong_flavour,etcone_max,8.25,ptcone_max,monotonic increasing,5
wrong_flavour,etcone_max,9.25,ptcone_max,monotonic increasing,5
wrong_flavour,etcone_max,10.25,ptcone_max,monotonic increasing,5
wrong_flavour,etcone_max,11.25,ptcone_max,monotonic increasing,5
wrong_flavour,ptcone_max,2.5,etcone_max,monotonic increasing,5
wrong_flavour,ptcone_max,3.5,etcone_max,monotonic increasing,5
wrong_flavour,ptcone_max,4.5,etcone_max,monotonic increasing,5
wrong_flavour,ptcone_max,5.5,etcone_max,monotonic increasing,5
wrong_flavour,ptcone_max,6.5,etcone_max,monotonic increasing,5
wrong_charge,etcone_max,7.25,ptcone_max,monotonic increasing,5
wrong_charge,etcone_max,8.25,ptcone_max,monotonic increasing,5
wrong_charge,etcone_max,9.25,ptcone_max,monotonic increasing,5
wrong_charge,etcone_max,10.25,ptcone_max,monotonic increasing,5
wrong_charge,etcone_max,11.25,ptcone_max,monotonic increasing,5
wrong_charge,ptcone_max,2.5,etcone_max,monotonic increasing,5
wrong_charge,ptcone_max,3.5,etcone_max,monotonic increasing,5
wrong_charge,ptcone_max,4.5,etcone_max,monotonic increasing,5
wrong_charge,ptcone_max,5.5,etcone_max,monotonic increasing,5
wrong_charge,ptcone_max,6.5,etcone_max,monotonic increasing,5
both_average,etcone_max,7.25,ptcone_max,monotonic increasing,5
both_average,etcone_max,8.25,ptcone_max,monotonic increasing,5
both_average,etcone_max,9.25,ptcone_max,monotonic increasing,5
both_average,etcone_max,10.25,ptcone_max,monotonic increasing,5
both_average,etcone_max,11.25,ptcone_max,monotonic increasing,5
both_average,ptcone_max,2.5,etcone_max,monotonic increasing,5
both_average,ptcone_max,3.5,etcone_max,monotonic increasing,5
both_average,ptcone_max,4.5,etcone_max,monotonic increasing,5
both_average,ptcone_max,5.5,etcone_max,monotonic increasing,5
both_average,ptcone_max,6.5,etcone_max,monotonic increasing,5
