method,fixed_axis,fixed_value,varying_axis,varying_start,varying_end,delta
none,etcone_max,7.25,ptcone_max,2.5,3.5,8.49699391667582
none,etcone_max,7.25,ptcone_max,3.5,4.5,3.7645037624583892
none,etcone_max,7.25,ptcone_max,4.5,5.5,3.305912028387411
none,etcone_max,7.25,ptcone_max,5.5,6.5,2.913819270284421
none,etcone_max,8.25,ptcone_max,2.5,3.5,8.513280276556088
none,etcone_max,8.25,ptcone_max,3.5,4.5,3.7618913674905343
none,etcone_max,8.25,ptcone_max,4.5,5.5,3.3385536094888266
none,etcone_max,8.25,ptcone_max,5.5,6.5,2.9620403401531803
none,etcone_max,9.25,ptcone_max,2.5,3.5,8.528492238853687
none,etcone_max,9.25,ptcone_max,3.5,4.5,3.7698680126418367
none,etcone_max,9.25,ptcone_max,4.5,5.5,3.360642418415864
none,etcone_max,9.25,ptcone_max,5.5,6.5,2.986214368578203
none,etcone_max,10.25,ptcone_max,2.5,3.5,8.537067968896281
none,etcone_max,10.25,ptcone_max,3.5,4.5,3.780651455844236
none,etcone_max,10.25,ptcone_max,4.5,5.5,3.3671506717496413
none,etcone_max,10.25,ptcone_max,5.5,6.5,3.007047921314097
none,etcone_max,11.25,ptcone_max,2.5,3.5,8.542701340302301
none,etcone_max,11.25,ptcone_max,3.5,4.5,3.7863988577773853
none,etcone_max,11.25,ptcone_max,4.5,5.5,3.3730774884170387
none,etcone_max,11.25,ptcone_max,5.5,6.5,3.0180414786414076
none,ptcone_max,2.5,etcone_max,7.25,8.25,0.6040985687805005
none,ptcone_max,2.5,etcone_max,8.25,9.25,0.823778059954293
none,ptcone_max,2.5,etcone_max,9.25,10.25,1.0710808595290473
none,ptcone_max,2.5,etcone_max,10.25,11.25,1.2926903310049056
none,ptcone_max,3.5,etcone_max,7.25,8.25,0.6203849286607692
none,ptcone_max,3.5,etcone_max,8.25,9.25,0.8389900222518918
none,ptcone_max,3.5,etcone_max,9.25,10.25,1.0796565895716412
none,ptcone_max,3.5,etcone_max,10.25,11.25,1.2983237024109258
none,ptcone_max,4.5,etcone_max,7.25,8.25,0.6177725336929143
