variation,mass_low,mass_high,method,sigma_pb,sigma_shift_pb,extra_bkg
68.0_114.0,68.0,114.0,none,2248.6685871117793,0.3335699378940262,0.0
68.0_114.0,68.0,114.0,wrong_flavour,2247.0130493229494,0.4582335575078105,18104.546285425888
68.0_114.0,68.0,114.0,wrong_charge,2248.416147816304,0.3625489958049002,2760.6128594729043
68.0_114.0,68.0,114.0,both_average,2247.7145985696266,0.4103912766559006,10432.579572449396
64.0_118.0,64.0,118.0,none,2247.8897554807436,-0.4452616931416742,0.0
64.0_118.0,64.0,118.0,wrong_flavour,2245.9813693160186,-0.5734464494230451,21110.945341248662
64.0_118.0,64.0,118.0,wrong_charge,2247.5846639451815,-0.46893487531770006,3374.9829307985465
64.0_118.0,64.0,118.0,both_average,2246.7830166306003,-0.5211906623703726,12242.964136023604
70.0_112.0,70.0,112.0,none,2249.070542641613,0.7355254677277117,0.0
70.0_112.0,70.0,112.0,wrong_flavour,2247.527369782337,0.9725540168951738,16761.389801202095
70.0_112.0,70.0,112.0,wrong_charge,2248.837647250166,0.7840484296666546,2529.6261630583313
70.0_112.0,70.0,112.0,both_average,2248.1825085162513,0.8783012232806868,9645.507982130213
62.0_120.0,62.0,120.0,none,2247.5077010466316,-0.8273161272536527,0.0
62.0_120.0,62.0,120.0,wrong_flavour,2245.442932611995,-1.1118831534467972,22955.708629441804
62.0_120.0,62.0,120.0,wrong_charge,2247.1749250650423,-0.8786737554569299,3699.7410189452185
62.0_120.0,62.0,120.0,both_average,2246.308928838518,-0.9952784544525457,13327.724824193512
