method,neighbour_rank,ptcone_max,etcone_max,delta_ptcone,delta_etcone,distance_to_nominal,sigma_shift_pb,sigma_abs_shift_pb,sigma_frac_shift,abs_slope_pb_per_gev
none,1,3.5,9.25,-1.0,0.0,1.0,-1.7460533081380163,1.7460533081380163,0.0007925552283577423,1.7460533081380163
none,2,4.5,8.25,0.0,-1.0,1.0,0.5486395247517066,0.5486395247517066,0.00024903427736084976,0.5486395247517066
none,3,4.5,10.25,0.0,1.0,1.0,-0.41063064944228245,0.41063064944228245,0.00018639033907073087,0.41063064944228245
none,4,5.5,9.25,1.0,0.0,1.0,0.27924345392875694,0.27924345392875694,0.0001267520632757318,0.27924345392875694
wrong_flavour,1,3.5,9.25,-1.0,0.0,1.0,-1.5117810823012405,1.5117810823012405,0.0006872621112569121,1.5117810823012405
wrong_flavour,2,4.5,8.25,0.0,-1.0,1.0,0.590055972213122,0.590055972213122,0.0002682419551153867,0.590055972213122
wrong_flavour,3,4.5,10.25,0.0,1.0,1.0,-0.4410481330132825,0.4410481330132825,0.00020050235752336825,0.4410481330132825
wrong_flavour,4,5.5,9.25,1.0,0.0,1.0,0.06973245164135733,0.06973245164135733,3.170066916382424e-05,0.06973245164135733
wrong_charge,1,3.5,9.25,-1.0,0.0,1.0,-1.5412466611001037,1.5412466611001037,0.0007074087647559537,1.5412466611001037
wrong_charge,2,4.5,8.25,0.0,-1.0,1.0,0.5903356105709463,0.5903356105709463,0.00027095506229182434,0.5903356105709463
wrong_charge,3,4.5,10.25,0.0,1.0,1.0,-0.44141208007795285,0.44141208007795285,0.00020260142792031627,0.44141208007795285
wrong_charge,4,5.5,9.25,1.0,0.0,1.0,0.09201233689509536,0.09201233689509536,4.223226251066666e-05,0.09201233689509536
both_average,1,3.5,9.25,-1.0,0.0,1.0,-1.5265138717004447,1.5265138717004447,0.0006972871378403647,1.5265138717004447
both_average,2,4.5,8.25,0.0,-1.0,1.0,0.5901957913920342,0.5901957913920342,0.0002695920042225061,0.5901957913920342
both_average,3,4.5,10.25,0.0,1.0,1.0,-0.44123010654584505,0.44123010654584505,0.0002015468603502647,0.44123010654584505
both_average,4,5.5,9.25,1.0,0.0,1.0,0.08087239426822634,0.08087239426822634,3.694121709275564e-05,0.08087239426822634
