variation,mass_low,mass_high,method,sigma_pb,sigma_shift_pb,extra_bkg
68.0_114.0,68.0,114.0,none,2203.4595753847684,0.39126460468287405,0.0
68.0_114.0,68.0,114.0,wrong_flavour,2200.3542227648586,0.6387757189104377,27049.923478016673
68.0_114.0,68.0,114.0,wrong_charge,2179.3212522116805,0.599786084790594,210262.6898257537
68.0_114.0,68.0,114.0,both_average,2189.83773748827,0.6192809018507432,118656.30665188518
64.0_118.0,64.0,118.0,none,2202.8479929320815,-0.2203178480040151,0.0
64.0_118.0,64.0,118.0,wrong_flavour,2199.2330700951175,-0.4823769508307123,31825.86480639229
64.0_118.0,64.0,118.0,wrong_charge,2178.2780270540725,-0.44343907281745487,216314.5515404617
64.0_118.0,64.0,118.0,both_average,2188.755548574595,-0.4629080118238562,124070.20817342699
70.0_112.0,70.0,112.0,none,2203.6972274311574,0.6289166510719042,0.0
70.0_112.0,70.0,112.0,wrong_flavour,2200.8313913162224,1.1159442702742126,24804.331672343742
70.0_112.0,70.0,112.0,wrong_charge,2179.7890727690096,1.0676066421196992,206929.4174998283
70.0_112.0,70.0,112.0,both_average,2190.310232042616,1.091775456196956,115866.87458608602
62.0_120.0,62.0,120.0,none,2202.7581555270503,-0.310155253035191,0.0
62.0_120.0,62.0,120.0,wrong_flavour,2198.844682158153,-0.8707648877953034,34608.94883282863
62.0_120.0,62.0,120.0,wrong_charge,2177.9565949758066,-0.7648711510832982,219333.53294646819
62.0_120.0,62.0,120.0,both_average,2188.4006385669795,-0.8178180194395281,126971.24088964841
